Requisition Status,Requisition Division,Requisition ID,Requisition Location,Job Category,Requisition Position,Requisition Display Job Title,Requisition Date Opened,Requisition Days Open,Requisition Address 1,Requisition Address 2,Requisition City,Requisition State/Province,Requisition Postal Code,Requisition Description - External,Requisition Primary Owner - Name,Requisition Full/Part Time
Open,CONNECT,req919,07012-CMH TRANSPORT EASTERN REGION,Logistics and Transportation,DISPATCH,Clayton Connect -East Tennessee Dispatcher,03/10/2017 04:20 PM,345,1420 MOUNTAIN ROAD,,ANDERSONVILLE,TN,37705,"Clayton Connect Transportation is seeking an experience Dispatcher! This is an exciting opportunity for a Dispatcher who is looking for a challenging role within a fast pace and growing organization. Essential Duties and Responsibilities:  Schedule and Dispatch drivers and flag vehicles to appropriate locations according to customer requests, specification, or needs.Prepare daily work and run schedules. Monitor personnel and/or equipment locations and utilization in order to coordinate service and schedules.Keeps customers informed by forwarding notice of homes availability, shipment date, and current status.  Skills and Qualifications:Documentation Skills, Data Entry Skills, Telephone Skills, Informing Others, Listening, Verbal Communication, Energy Level, Multi-Tasking, Dependability, Emotional Control, Reporting SkillsMaintains cordial working relationships with assigned drivers and assistantsDemonstrates a comprehensive knowledge of all facets of driver and escort duties as outlined in state and district regulations.Communicate with department employees, dispatching to needed locations to respond to routine requests or emergency situations.Communicate with outside organizations, businesses, government organizations, local police and others as appropriate.Maintain current knowledge of routes and locations to assure timely services and accurate information.Operate standard office machines.Knowledge of:Modern office practices, procedures and equipmentBasic record-keeping techniquesHealth and safety regulationsOperation of two way radio Ability to:Perform dispatching and clerical support duties for departmentLearn and apply applicable department rules, regulations, policies, and procedures.Communicate effectively both orally and in writing    ","BURGESS, BRANDON",Full Time
Open,GREENSBORO,req898,GSO-GREENSBORO OFFICE,Mortgage and Loan Servicing,ACCOUNT REP,"GSO Account Representative Bilingual - Greensboro, NC",03/06/2017 08:27 AM,349,7800 MCCLOUD RD,,GREENSBORO,NC,27409,"              Title:  Greensboro Account Representative (Non-LO - Servicing)    Job Status: Full Time/Hourly          Department:      Collections Reports to: Team Leader          Work Schedule:       Flexible Amount of Travel Required: None          Vanderbilt Mortgage and Finance, Inc. was established in 1974 and currently      services over 200,000 loans. Our strength as an organization is rooted in      the quality of our people and products. We are an equal opportunity      employer committed to creating a diverse workforce. Furthermore, we're      financially strong, with a reputation for leading the industry with      unsurpassed products, a broad range of services and a coast-to-coast      presence. And we're professionally strong, from entry level to more      experienced positions, we're actively recruiting individuals who are      passionate, positive, and eager to learn. As a member of our team, we will      equip you for success, you'll enjoy excellent benefits, opportunities for      growth and an encouraging culture that supports work/life balance.          POSITION SUMMARY:          Account Representatives exist to resolve                 delinquency through negotiation and problem-solving, while adhering to          company, state and federal guidelines. Success in the position is          achieved by strategically educating customers on the importance of          paying in a timely manner.                ESSENTIAL FUNCTIONS:                                  Manages a portfolio of accounts through telephone negotiations with              customers.                                              Achieves monthly collection goals by monitoring and decreasing the              number of past due accounts.                                              Communicates professionally with customers concerning their pay              dates/amounts and acceptable payment arrangements.                                              Plans, schedules and executes daily workload between phone calls,              field visits and legal notices in a timely manner.                                              Conducts research on no contact accounts, researching contracts and              reviewing documentation.                                              Analyzes debt to income information from customers to set up              payment plans.                                              Maintains accurate documentation pertaining to each account.                                              Exhibits problem solving skills to influence loss mitigation.                                              Adheres to all policies and procedures.                                              Ensures compliance at all levels both internally and externally.                                              Performs other duties as assigned.                                                QUALIFICATIONS:                                  High School diploma or equivalent required, college preferred.                                              Basic computer skills with ability to type at least 25 wpm.                                              Ability to communicate effectively and efficiently via phone,              email, and person to person.                                              Capability of gathering facts accurately, analyzing causes,              evaluating alternate solutions, and arriving at sound conclusions              on action to be taken.                                              Ability to manage multiple and/or conflicting responsibilities.                                              Great attention to detail and organizational skills.                                              Ability to work in a team environment.                                              Working knowledge of the View/AS400 system a plus.                                              Bilingual is both English and Spanish.                                     PHYSICAL DEMANDS:                                  Must be able to remain in a stationary position 75% of the time.                                              Constantly operate a computer and other office productivity              machinery, such as a telephone, calculator, copy machine, and              computer printer.                                              90% communication methods completed over the phone. Must be able to              exchange accurate information at all times.                                              Ability to identify and assess account status and determine              appropriate process.                                              Constantly works in an indoor temperature controlled, sealed window              office environment.                                              Assist in repositioning office equipment.                                     BENEFITS:                                  Medical and Dental Plan with Prescription Coverage and Vision                                              Paid Time Off (PTO) and Holidays                                              401(K) includes 100% company match of the first 4%                                              Tuition Assistance                                              Wellness Programs, Gym Reimbursement Plan, and Onsite Gym                                              Bonuses                  ","UPTON, MARY",Full Time
Open,HOME BUILDING GROUP,req256,07012-CMH TRANSPORT EASTERN REGION,Logistics and Transportation,CDL DRIVER,"Clayton Appalachia Toter Driver - Andersonville, TN",09/06/2016 04:15 PM,391,1420 MOUNTAIN ROAD,,ANDERSONVILLE,TN,37705,"  Class A CDL - Truck Driver (Toter)   Job Reports To: Logistics Manager  A Toter Truck Driver is typically a senior driver with a Class A CDL and extensive experience and skills. This is a CDL qualified position responsible for the transportation of all classes of oversized and overweight loads. This position is also responsible for maintaining proper and accurate paperwork and ensuring a professional appearance with all vehicles. This position is accountable for basic and safe operation of all equipment. Drivers in this classification are also responsible to ensure they have all required permits before delivery.     ESSENTIAL FUNCTIONS AND BASIC DUTIES  Administrative    Completes and maintains daily truck log, accurately and completely.  Maintains accurate reporting of all expenses and receipts associated with the day to day use of company credit and fuel cards.  Completes IFTA reports manually and electronically as required.  Reports all unsafe conditions regarding the use of company equipment.  Secures required customer signatures on all shipping documents to include rental and sale contracts, load sheets, and/or any other required documentation.  Enters daily time within the ELC system and/or completes manual time cards and reports work times daily.  Uses in cab truck computer for dispatching purposes and enters load and fuel information as required.  Ensures entire vehicle is clean and meets professional standards, and meet all regulations established by operating authorities such as FMCSA and USDOT inspections.  Orders vehicle transport permits as required.  Ensures pilot escort services as needed to complete oversized load deliveries.    Organizational    Reports to work as required to complete job assignments; early or late hours and/or weekends may be required to fulfill the job responsibilities of this position.  Contacts customers and company sales representatives as needed to coordinate load movements.  Coordinates machine movement with local, state, and federal authorities as Seek sways to manage the daily routine in the most effective and efficient manner.  Works with the manager to ensure implementation of agreed-upon changes.  Maintains paperwork to include permits, receipts and and/or any necessary documentation.    Interpersonal     Meets the needs and requests of the customer in a professional and courteous manner.  Works closely with the Sales and Service personnel to keep informed or to communicate any relevant information regarding our equipment.  Acts as an ambassador for the company to ensure highest customer service satisfaction.    Technical    Conducts daily Driver Vehicle Inspections required by the Federal Motor Carrier Safety Administration and USDOT.  Performs minor repairs and preventative maintenance to transport equipment to ensure vehicle is in safe operating condition and ready for next-day business to include fueling and pre-loading whenever possible.  Learns and understand transport equipment thoroughly to ensure safe operation.  Inspects all machinery and equipment for damage at time of pick up. Document findings and submit damage information to sales and/or service personnel as necessary.  Applies knowledge and understanding of USDOT, FMCA, state, local and municipal rules and regulations governing the transport of company products.  Loads and unloads company products safely and according to all laws and regulations.  Navigates weight restricted highways and curfew governs roads as required for oversize and overweight load dimensions.  ","WOLF, BRENDA",Full Time
Open,HOME BUILDING GROUP,req1060,00957-ROCKWELL #957,Logistics and Transportation,CDL DRIVER,"Clayton Transportation Toter Driver - Rockwell, NC",04/18/2017 08:40 AM,306,508 PALMER ROAD,,ROCKWELL,NC,28138,"  Class A CDL - Truck Driver (Toter)   Job Reports To: Logistics Manager  A Toter Truck Driver is typically a senior driver with a Class A CDL and extensive experience and skills. This is a CDL qualified position responsible for the transportation of all classes of oversized and overweight loads. This position is also responsible for maintaining proper and accurate paperwork and ensuring a professional appearance with all vehicles. This position is accountable for basic and safe operation of all equipment. Drivers in this classification are also responsible to ensure they have all required permits before delivery.     ESSENTIAL FUNCTIONS AND BASIC DUTIES  Administrative    Completes and maintains daily truck log, accurately and completely.  Maintains accurate reporting of all expenses and receipts associated with the day to day use of company credit and fuel cards.  Completes IFTA reports manually and electronically as required.  Reports all unsafe conditions regarding the use of company equipment.  Secures required customer signatures on all shipping documents to include rental and sale contracts, load sheets, and/or any other required documentation.  Enters daily time within the ELC system and/or completes manual time cards and reports work times daily.  Uses in cab truck computer for dispatching purposes and enters load and fuel information as required.  Ensures entire vehicle is clean and meets professional standards, and meet all regulations established by operating authorities such as FMCSA and USDOT inspections.  Orders vehicle transport permits as required.  Ensures pilot escort services as needed to complete oversized load deliveries.    Organizational    Reports to work as required to complete job assignments; early or late hours and/or weekends may be required to fulfill the job responsibilities of this position.  Contacts customers and company sales representatives as needed to coordinate load movements.  Coordinates machine movement with local, state, and federal authorities as Seek sways to manage the daily routine in the most effective and efficient manner.  Works with the manager to ensure implementation of agreed-upon changes.  Maintains paperwork to include permits, receipts and and/or any necessary documentation.    Interpersonal     Meets the needs and requests of the customer in a professional and courteous manner.  Works closely with the Sales and Service personnel to keep informed or to communicate any relevant information regarding our equipment.  Acts as an ambassador for the company to ensure highest customer service satisfaction.    Technical    Conducts daily Driver Vehicle Inspections required by the Federal Motor Carrier Safety Administration and USDOT.  Performs minor repairs and preventative maintenance to transport equipment to ensure vehicle is in safe operating condition and ready for next-day business to include fueling and pre-loading whenever possible.  Learns and understand transport equipment thoroughly to ensure safe operation.  Inspects all machinery and equipment for damage at time of pick up. Document findings and submit damage information to sales and/or service personnel as necessary.  Applies knowledge and understanding of USDOT, FMCA, state, local and municipal rules and regulations governing the transport of company products.  Loads and unloads company products safely and according to all laws and regulations.  Navigates weight restricted highways and curfew governs roads as required for oversize and overweight load dimensions.  ","BURGESS, BRANDON",Full Time
Open,HOME BUILDING GROUP,req1218,07012-CMH TRANSPORT EASTERN REGION,Logistics and Transportation,CDL DRIVER,"Clayton Transportation Toter Driver - Rutledge, TN",05/22/2017 10:43 AM,272,1420 MOUNTAIN ROAD,,ANDERSONVILLE,TN,37705,"  Class A CDL - Truck Driver (Toter)   Job Reports To: Logistics Manager  A Toter Truck Driver is typically a senior driver with a Class A CDL and extensive experience and skills. This is a CDL qualified position responsible for the transportation of all classes of oversized and overweight loads. This position is also responsible for maintaining proper and accurate paperwork and ensuring a professional appearance with all vehicles. This position is accountable for basic and safe operation of all equipment. Drivers in this classification are also responsible to ensure they have all required permits before delivery.     ESSENTIAL FUNCTIONS AND BASIC DUTIES  Administrative    Completes and maintains daily truck log, accurately and completely.  Maintains accurate reporting of all expenses and receipts associated with the day to day use of company credit and fuel cards.  Completes IFTA reports manually and electronically as required.  Reports all unsafe conditions regarding the use of company equipment.  Secures required customer signatures on all shipping documents to include rental and sale contracts, load sheets, and/or any other required documentation.  Enters daily time within the ELC system and/or completes manual time cards and reports work times daily.  Uses in cab truck computer for dispatching purposes and enters load and fuel information as required.  Ensures entire vehicle is clean and meets professional standards, and meet all regulations established by operating authorities such as FMCSA and USDOT inspections.  Orders vehicle transport permits as required.  Ensures pilot escort services as needed to complete oversized load deliveries.    Organizational    Reports to work as required to complete job assignments; early or late hours and/or weekends may be required to fulfill the job responsibilities of this position.  Contacts customers and company sales representatives as needed to coordinate load movements.  Coordinates machine movement with local, state, and federal authorities as Seek sways to manage the daily routine in the most effective and efficient manner.  Works with the manager to ensure implementation of agreed-upon changes.  Maintains paperwork to include permits, receipts and and/or any necessary documentation.    Interpersonal     Meets the needs and requests of the customer in a professional and courteous manner.  Works closely with the Sales and Service personnel to keep informed or to communicate any relevant information regarding our equipment.  Acts as an ambassador for the company to ensure highest customer service satisfaction.    Technical    Conducts daily Driver Vehicle Inspections required by the Federal Motor Carrier Safety Administration and USDOT.  Performs minor repairs and preventative maintenance to transport equipment to ensure vehicle is in safe operating condition and ready for next-day business to include fueling and pre-loading whenever possible.  Learns and understand transport equipment thoroughly to ensure safe operation.  Inspects all machinery and equipment for damage at time of pick up. Document findings and submit damage information to sales and/or service personnel as necessary.  Applies knowledge and understanding of USDOT, FMCA, state, local and municipal rules and regulations governing the transport of company products.  Loads and unloads company products safely and according to all laws and regulations.  Navigates weight restricted highways and curfew governs roads as required for oversize and overweight load dimensions.  ","BURGESS, BRANDON",Full Time
Open,HOME BUILDING GROUP,req1724,07012-CMH TRANSPORT EASTERN REGION,Logistics and Transportation,CDL DRIVER,"Clayton Transportation Toter Driver - Tazwell, TN",09/19/2017 04:33 PM,152,1420 MOUNTAIN ROAD,,ANDERSONVILLE,TN,37705,"  Class A CDL - Truck Driver (Toter)   Job Reports To: Logistics Manager  A Toter Truck Driver is typically a senior driver with a Class A CDL and extensive experience and skills. This is a CDL qualified position responsible for the transportation of all classes of oversized and overweight loads. This position is also responsible for maintaining proper and accurate paperwork and ensuring a professional appearance with all vehicles. This position is accountable for basic and safe operation of all equipment. Drivers in this classification are also responsible to ensure they have all required permits before delivery.     ESSENTIAL FUNCTIONS AND BASIC DUTIES  Administrative    Completes and maintains daily truck log, accurately and completely.  Maintains accurate reporting of all expenses and receipts associated with the day to day use of company credit and fuel cards.  Completes IFTA reports manually and electronically as required.  Reports all unsafe conditions regarding the use of company equipment.  Secures required customer signatures on all shipping documents to include rental and sale contracts, load sheets, and/or any other required documentation.  Enters daily time within the ELC system and/or completes manual time cards and reports work times daily.  Uses in cab truck computer for dispatching purposes and enters load and fuel information as required.  Ensures entire vehicle is clean and meets professional standards, and meet all regulations established by operating authorities such as FMCSA and USDOT inspections.  Orders vehicle transport permits as required.  Ensures pilot escort services as needed to complete oversized load deliveries.    Organizational    Reports to work as required to complete job assignments; early or late hours and/or weekends may be required to fulfill the job responsibilities of this position.  Contacts customers and company sales representatives as needed to coordinate load movements.  Coordinates machine movement with local, state, and federal authorities as Seek sways to manage the daily routine in the most effective and efficient manner.  Works with the manager to ensure implementation of agreed-upon changes.  Maintains paperwork to include permits, receipts and and/or any necessary documentation.    Interpersonal     Meets the needs and requests of the customer in a professional and courteous manner.  Works closely with the Sales and Service personnel to keep informed or to communicate any relevant information regarding our equipment.  Acts as an ambassador for the company to ensure highest customer service satisfaction.    Technical    Conducts daily Driver Vehicle Inspections required by the Federal Motor Carrier Safety Administration and USDOT.  Performs minor repairs and preventative maintenance to transport equipment to ensure vehicle is in safe operating condition and ready for next-day business to include fueling and pre-loading whenever possible.  Learns and understand transport equipment thoroughly to ensure safe operation.  Inspects all machinery and equipment for damage at time of pick up. Document findings and submit damage information to sales and/or service personnel as necessary.  Applies knowledge and understanding of USDOT, FMCA, state, local and municipal rules and regulations governing the transport of company products.  Loads and unloads company products safely and according to all laws and regulations.  Navigates weight restricted highways and curfew governs roads as required for oversize and overweight load dimensions.  ","BURGESS, BRANDON",Full Time
Open,HOME BUILDING GROUP,req1725,07012-CMH TRANSPORT EASTERN REGION,Logistics and Transportation,CDL DRIVER,"Clayton Transportation Toter Driver - Morristown, TN",09/19/2017 04:35 PM,152,1420 MOUNTAIN ROAD,,ANDERSONVILLE,TN,37705,"  Class A CDL - Truck Driver (Toter)   Job Reports To: Logistics Manager  A Toter Truck Driver is typically a senior driver with a Class A CDL and extensive experience and skills. This is a CDL qualified position responsible for the transportation of all classes of oversized and overweight loads. This position is also responsible for maintaining proper and accurate paperwork and ensuring a professional appearance with all vehicles. This position is accountable for basic and safe operation of all equipment. Drivers in this classification are also responsible to ensure they have all required permits before delivery.     ESSENTIAL FUNCTIONS AND BASIC DUTIES  Administrative    Completes and maintains daily truck log, accurately and completely.  Maintains accurate reporting of all expenses and receipts associated with the day to day use of company credit and fuel cards.  Completes IFTA reports manually and electronically as required.  Reports all unsafe conditions regarding the use of company equipment.  Secures required customer signatures on all shipping documents to include rental and sale contracts, load sheets, and/or any other required documentation.  Enters daily time within the ELC system and/or completes manual time cards and reports work times daily.  Uses in cab truck computer for dispatching purposes and enters load and fuel information as required.  Ensures entire vehicle is clean and meets professional standards, and meet all regulations established by operating authorities such as FMCSA and USDOT inspections.  Orders vehicle transport permits as required.  Ensures pilot escort services as needed to complete oversized load deliveries.    Organizational    Reports to work as required to complete job assignments; early or late hours and/or weekends may be required to fulfill the job responsibilities of this position.  Contacts customers and company sales representatives as needed to coordinate load movements.  Coordinates machine movement with local, state, and federal authorities as Seek sways to manage the daily routine in the most effective and efficient manner.  Works with the manager to ensure implementation of agreed-upon changes.  Maintains paperwork to include permits, receipts and and/or any necessary documentation.    Interpersonal     Meets the needs and requests of the customer in a professional and courteous manner.  Works closely with the Sales and Service personnel to keep informed or to communicate any relevant information regarding our equipment.  Acts as an ambassador for the company to ensure highest customer service satisfaction.    Technical    Conducts daily Driver Vehicle Inspections required by the Federal Motor Carrier Safety Administration and USDOT.  Performs minor repairs and preventative maintenance to transport equipment to ensure vehicle is in safe operating condition and ready for next-day business to include fueling and pre-loading whenever possible.  Learns and understand transport equipment thoroughly to ensure safe operation.  Inspects all machinery and equipment for damage at time of pick up. Document findings and submit damage information to sales and/or service personnel as necessary.  Applies knowledge and understanding of USDOT, FMCA, state, local and municipal rules and regulations governing the transport of company products.  Loads and unloads company products safely and according to all laws and regulations.  Navigates weight restricted highways and curfew governs roads as required for oversize and overweight load dimensions.  ","BURGESS, BRANDON",Full Time
Open,HOME BUILDING GROUP,req1731,07012-CMH TRANSPORT EASTERN REGION,Logistics and Transportation,CDL DRIVER,"Clayton Transportation CDL Driver - Halls, TN",09/21/2017 08:40 AM,150,1420 MOUNTAIN ROAD,,ANDERSONVILLE,TN,37705,"  Class A CDL - Truck Driver (Toter)   Job Reports To: Logistics Manager  A Toter Truck Driver is typically a senior driver with a Class A CDL and extensive experience and skills. This is a CDL qualified position responsible for the transportation of all classes of oversized and overweight loads. This position is also responsible for maintaining proper and accurate paperwork and ensuring a professional appearance with all vehicles. This position is accountable for basic and safe operation of all equipment. Drivers in this classification are also responsible to ensure they have all required permits before delivery.     ESSENTIAL FUNCTIONS AND BASIC DUTIES  Administrative    Completes and maintains daily truck log, accurately and completely.  Maintains accurate reporting of all expenses and receipts associated with the day to day use of company credit and fuel cards.  Completes IFTA reports manually and electronically as required.  Reports all unsafe conditions regarding the use of company equipment.  Secures required customer signatures on all shipping documents to include rental and sale contracts, load sheets, and/or any other required documentation.  Enters daily time within the ELC system and/or completes manual time cards and reports work times daily.  Uses in cab truck computer for dispatching purposes and enters load and fuel information as required.  Ensures entire vehicle is clean and meets professional standards, and meet all regulations established by operating authorities such as FMCSA and USDOT inspections.  Orders vehicle transport permits as required.  Ensures pilot escort services as needed to complete oversized load deliveries.    Organizational    Reports to work as required to complete job assignments; early or late hours and/or weekends may be required to fulfill the job responsibilities of this position.  Contacts customers and company sales representatives as needed to coordinate load movements.  Coordinates machine movement with local, state, and federal authorities as Seek sways to manage the daily routine in the most effective and efficient manner.  Works with the manager to ensure implementation of agreed-upon changes.  Maintains paperwork to include permits, receipts and and/or any necessary documentation.    Interpersonal     Meets the needs and requests of the customer in a professional and courteous manner.  Works closely with the Sales and Service personnel to keep informed or to communicate any relevant information regarding our equipment.  Acts as an ambassador for the company to ensure highest customer service satisfaction.    Technical    Conducts daily Driver Vehicle Inspections required by the Federal Motor Carrier Safety Administration and USDOT.  Performs minor repairs and preventative maintenance to transport equipment to ensure vehicle is in safe operating condition and ready for next-day business to include fueling and pre-loading whenever possible.  Learns and understand transport equipment thoroughly to ensure safe operation.  Inspects all machinery and equipment for damage at time of pick up. Document findings and submit damage information to sales and/or service personnel as necessary.  Applies knowledge and understanding of USDOT, FMCA, state, local and municipal rules and regulations governing the transport of company products.  Loads and unloads company products safely and according to all laws and regulations.  Navigates weight restricted highways and curfew governs roads as required for oversize and overweight load dimensions.  ","BURGESS, BRANDON",Full Time
Open,HOME BUILDING GROUP,req717,07012-CMH TRANSPORT EASTERN REGION,Logistics and Transportation,ESCORT DRIVER,ESCORT DRIVER,01/24/2017 07:29 AM,390,1420 MOUNTAIN ROAD,,ANDERSONVILLE,TN,37705,"     Clayton  Homes has a NEW Transportation Division!    Clayton Connect    We  are actively searching for Escort Drivers, also referred to as pilot car or  pole car drivers, to ensure the safe transport of our oversized homes to our  customers across the country. Driving an oversized load creates unique safety  concerns that our Escort Drivers help to address, from switching lanes to  bridge crossings, they ensure the safety of the Toter driver, their load, and  everyone else on the road.      *Brand New Trucks   *Great Family  Benefits   *Competitive Pay    Our  escort cars normally have an “Oversized Load” sign to warn other drivers that a  heavy load is following and our pilot car is usually equipped  with flashing lights and/or flags to warn others on the road that a heavy  load is in transport.    Clayton  Connect is offering a CAREER, not just a job!    Responsibilities:    Pre-trip safety inspection of vehicleEnsure all needed materials are  in-stock and loaded into vehicles (spare tire, tools, etc.)Assist with road repairs and  service, if situation requires.            Position  Requirements:    Valid Driver’s license; Class A or B CDL is a huge +!Acceptable MVRAbility to pass DOT physicalAvailability for overnight stays (if needed)High School diploma.                    ","WOLF, BRENDA",Full Time
Open,HOME BUILDING GROUP,req920,07012-CMH TRANSPORT EASTERN REGION,Logistics and Transportation,ESCORT DRIVER,ESCORT DRIVER,03/13/2017 10:34 AM,342,1420 MOUNTAIN ROAD,,ANDERSONVILLE,TN,37705,"     Clayton  Homes has a NEW Transportation Division!    Clayton Connect    We  are actively searching for Escort Drivers, also referred to as pilot car or  pole car drivers, to ensure the safe transport of our oversized homes to our  customers across the country. Driving an oversized load creates unique safety  concerns that our Escort Drivers help to address, from switching lanes to  bridge crossings, they ensure the safety of the Toter driver, their load, and  everyone else on the road.      *Brand New Trucks   *Great Family  Benefits   *Competitive Pay    Our  escort cars normally have an “Oversized Load” sign to warn other drivers that a  heavy load is following and our pilot car is usually equipped  with flashing lights and/or flags to warn others on the road that a heavy  load is in transport.    Clayton  Connect is offering a CAREER, not just a job!    Responsibilities:    Pre-trip safety inspection of vehicleEnsure all needed materials are  in-stock and loaded into vehicles (spare tire, tools, etc.)Assist with road repairs and  service, if situation requires.            Position  Requirements:    Valid Driver’s license; Class A or B CDL is a huge +!Acceptable MVRAbility to pass DOT physicalAvailability for overnight stays (if needed)High School diploma.                    ","BURGESS, BRANDON",Full Time
